Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	85	162	247	341	430	511	580	681	765
Troughs	108	186	268	357	447	531	611		

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)	
Point1	0.04727300	0.03914972	0.06089325
Point2	0.04866461	0.03791368	0.06122032
Point3	0.04719116	0.04033467	0.05936413
Point4	0.04729687	0.04026835	0.05917507
Point5	0.04713896	0.04031967	0.06081809
Point6	0.04688198	0.04079083	0.05904157
Point7	0.04662760	0.04101991	0.05911415
Point8	0.04565731	0.04122910	0.05863737
Point9	0.04543317	0.04143516	0.06026694

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)	
Point1	0.05693143	0.03242815	0.04311004
Point2	0.05705830	0.03437836	0.04171138
Point3	0.05687650	0.03465135	0.04251478
Point4	0.05457565	0.03449656	0.04311622
Point5	0.05509105	0.03471402	0.04357278
Point6	0.05515069	0.03625217	0.04353838
Point7	0.05654620	0.03473193	0.04291494
Point8	0.05422724	0.03419030	0.04418783

Parameters	T1 - Amplitude	T1 - Velocity	T1 - Time	T2 - Amplitude	T2 - Velocity	T2 - Time
thumb base joint right X	0.1222	0.3191	0.3542	0.136	0.1355	1.0625
thumb base joint right Y	0.1114	0.3349	0.3542	0.1373	0.1404	1.0625
thumb base joint right Z	1.3851	4.0842	0.3542	1.4379	1.3721	1.0625
thumb end joint right X	0.591	1.7259	0.3542	0.6439	0.6098	1.0625
thumb end joint right Y	0.1436	0.4348	0.3542	0.1592	0.1447	1.0625
thumb end joint right Z	1.5943	4.6877	0.3542	1.6161	1.542	1.0625
thumb tip right X	0.8716	2.5223	0.3542	0.8946	0.8542	1.0625
thumb tip right Y	0.5648	1.6661	0.3542	0.5934	0.5631	1.0625
thumb tip right Z	1.67	4.8802	0.3542	1.6621	1.5925	1.0625
forefinger base joint right X	0.2185	0.6117	0.3542	0.2451	0.2356	1.0625
forefinger base joint right Y	0.7372	2.1766	0.3542	0.7699	0.727	1.0625
forefinger base joint right Z	0.6257	1.8333	0.3542	0.6075	0.582	1.0625
forefinger middle joint right X	1.0095	2.9505	0.3542	1.0626	1.0198	1.0625
forefinger middle joint right Z	0.8742	2.5514	0.3542	0.83	0.7929	1.0625
forefinger middle joint right Y	1.8431	5.4287	0.3542	1.9095	1.8202	1.0625
forefinger tip right X	0.3434	0.9994	0.3542	0.3701	0.3522	1.0625
forefinger tip right Y	1.0439	3.0309	0.3542	1.0562	1.0073	1.0625
forefinger tip right Z	1.0992	3.2183	0.3542	1.0868	1.0445	1.0625
